2026-04-19 10:05:40.090 [main] INFO  com.itheima.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 17.0.12 with PID 16484 (D:\新建文件夹 (3)\web-project02\tlias-web-management\target\classes started by 31605 in D:\新建文件夹 (3)\web-project02)
2026-04-19 10:05:40.095 [main] INFO  com.itheima.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2026-04-19 10:05:42.127 [main] INFO  com.itheima.TliasWebManagementApplication-Started TliasWebManagementApplication in 2.646 seconds (process running for 3.982)
2026-04-19 10:06:01.372 [http-nio-8080-exec-1] INFO  com.itheima.controller.DeptController-已删除部门id:9
2026-04-19 10:06:02.254 [http-nio-8080-exec-2] INFO  com.itheima.controller.DeptController-查询所有部门信息
2026-04-19 10:07:47.109 [http-nio-8080-exec-3] INFO  com.itheima.controller.DeptController-已查询部门id:7
2026-04-19 10:07:50.061 [http-nio-8080-exec-7] INFO  com.itheima.controller.DeptController-已修改部门信息:Dept(id=7, name=后勤部66, createTime=2026-04-18T14:27:49, updateTime=2026-04-18T14:27:49)
2026-04-19 10:07:50.088 [http-nio-8080-exec-5] INFO  com.itheima.controller.DeptController-查询所有部门信息
2026-04-19 10:07:51.145 [http-nio-8080-exec-6] INFO  com.itheima.controller.DeptController-已查询部门id:7
2026-04-19 10:07:53.910 [http-nio-8080-exec-4] INFO  com.itheima.controller.DeptController-已修改部门信息:Dept(id=7, name=后勤部, createTime=2026-04-18T14:27:49, updateTime=2026-04-19T10:07:50)
2026-04-19 10:07:53.942 [http-nio-8080-exec-8] INFO  com.itheima.controller.DeptController-查询所有部门信息
